pm_id,leaf_id,sample_id,sub_sample_id,tree_species,pm_class,pm_area,pm_ecd,pm_perimeter,pm_shape,pm_count,O Wt%,F Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,Ca Wt%,La Wt%,Ce Wt%,Pr Wt%,Nd Wt%,Sm Wt%,Gd Wt%,Dy Wt%,Fe Wt%,Br Wt%,W Wt%,K Wt%,Ti Wt%,Ru Wt%,S Wt%,Zn Wt%,B Wt%,Rb Wt%,In Wt%,Be Wt%,Mo Wt%,Mn Wt%,P Wt%,Te Wt%,Ni Wt%,notes
24,QR03,9C,QR03_03,Quercus robur,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,17,0,24.79746789,,,6.086126342,,64.41147327,0.127584499,0.425710436,0.452711387,0.505651347,0.570419943,0.686945301,0.853418279,1.082503423,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
30,QR03,9C,QR03_03,Quercus robur,PM2.5,1.005704522,1.131593022,3.694289147,1.079894928,43,3.729660064,59.8554492,,,1.736177504,,28.9057076,0.022940144,0.07918927,0.084571698,0.238015456,0.10736977,0.27320548,0.664953981,4.302760214,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
31,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,18,41.47998095,0,,,0,,24.82546568,0.012889208,18.41816902,14.08793926,0,1.175555866,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
32,QR03,9C,QR03_03,Quercus robur,PM2.5,3.352348407,2.065996747,6.754738484,1.083073842,143,13.4906888,31.7525506,,,3.69925797,,37.92323768,0.770895556,0,0,0,0.5276707,0.279803923,0,11.55589595,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
33,QR03,9C,QR03_03,Quercus robur,PM2.5,0.446979788,0.754395348,2.426609525,1.048339735,25,34.06567276,1.52178565,,,0.877550244,,16.03914201,0.012142694,10.91187522,18.55146438,18.02036315,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
34,QR03,9C,QR03_03,Quercus robur,PM2.5,0.670469681,0.923941834,2.79790429,0.929130466,21,0,46.12006545,,,2.234110422,,49.25912321,0.063071249,0.214308803,0.228413381,0.255682971,0.288953423,0.349044404,0.434681773,0.552552519,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
36,QR03,9C,QR03_03,Quercus robur,PM2.5,2.681878726,1.847883667,5.858353627,1.018361958,96,33.24424326,21.59604281,,,0.227670558,,27.50523686,7.334242761,0,0,0,3.548528627,3.70685868,2.837171592,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
35,QR03,9C,QR03_03,Quercus robur,PM2.5,2.793623673,1.88598837,7.202930912,1.47788531,97,22.78589159,22.32071012,,,0,19.07666624,12.98999488,6.558971107,0.017457668,0.261418708,0.848098379,0.269542821,1.796914078,0,13.07433248,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
37,QR03,9C,QR03_03,Quercus robur,PM2.5,0.558724735,0.84343964,3.399892046,1.646351232,42,0,0,,,8.576711267,,53.52836251,12.95170188,0,0,0,0,0,24.94321913,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
38,QR03,9C,QR03_03,Quercus robur,PM2.5,1.676174204,1.46088031,4.513776341,0.967277432,71,23.10625464,35.1758033,,,0,,23.35723341,0,16.33551419,0,0,0.597778661,0,0,1.427417248,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
39,QR03,9C,QR03_03,Quercus robur,PM2.5,1.340939363,1.306651072,6.460341383,2.476805665,80,21.18046135,38.94353509,,,0,,29.4677645,0.49093226,4.304380342,0,0,0,0,5.61292246,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
43,QR03,9C,QR03_03,Quercus robur,PM2.5,0.335234841,0.653325536,2.164064479,1.111684066,21,0,18.57639551,,,0,,12.47689128,0.026900542,0,0,19.35338974,24.10766333,12.19224781,13.26651275,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
41,QR03,9C,QR03_03,Quercus robur,PM2.5,1.229194416,1.251023157,3.956834194,1.013596872,70,42.57951081,0,,,0,,52.63770819,0,0,0,0,0,4.782776535,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
42,QR03,9C,QR03_03,Quercus robur,PM2.5,1.229194416,1.251023157,4.142481576,1.110940318,59,36.83857918,27.75808573,,,1.35094896,,16.22507125,6.131274253,0,0,0.871840399,3.02025862,4.47210595,0,3.331831843,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
44,QR03,9C,QR03_03,Quercus robur,PM2.5,0.782214628,0.997971241,3.508641765,1.252397696,28,7.709549367,15.45671374,,,0,,7.995239645,5.511404201,21.74581587,16.01186395,0,0,0,20.98284513,4.586571828,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
47,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,19,45.15395164,0,,,8.612108976,,43.14225316,0.080778036,0.276641152,0.295148115,0.33065516,0.374008482,0.45246114,0.564153679,0.717839506,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
46,QR03,9C,QR03_03,Quercus robur,PM2.5,1.117449469,1.192803778,3.771186811,1.012787506,51,26.91266239,42.36815572,,,11.09345257,,15.10471106,0,0.530634308,0.624182681,0,0,0,3.366201743,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
45,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,26,38.35673034,57.15007782,,,0,,3.663248941,0.020296025,0.07283942,0.078155904,0.088015845,0.100015535,0.12194179,0.152991561,0.195696298,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
48,QR03,9C,QR03_03,Quercus robur,PM2.5,0.782214628,0.997971241,3.060449336,0.952872057,44,9.465003759,30.00587523,,,4.223319143,,17.22804606,0.014030912,1.917502843,0,0,0,0,9.103556722,28.0426532,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
49,QR03,9C,QR03_03,Quercus robur,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,11,0,69.67183948,,,0,,0.111476262,2.208430879,0.671573589,16.91828072,7.191804051,0,0,1.41465934,1.811945811,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
50,QR03,9C,QR03_03,Quercus robur,PM10,10.05704522,3.578411335,12.2736494,1.191975036,347,15.65649211,16.22034758,21.90639377,,2.207410336,,28.33189666,1.608670317,5.00985384,2.914033458,0,0,6.144899875,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
51,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,10,0,63.65613937,,,0,,35.54460406,0.077268161,0.721984496,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
52,QR03,9C,QR03_03,Quercus robur,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,25,75.90273023,23.16562384,,,0,,0.012205657,0.022254189,0.080444891,0.086396455,0.097364408,0.110728422,0.13517983,0.169761817,0.21731772,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
53,QR03,9C,QR03_03,Quercus robur,PM2.5,2.011409044,1.600314199,5.858353627,1.357815944,84,47.52705991,0,,,7.013222575,,2.096714452,5.394405127,0,1.28650954,27.7161181,2.457041107,6.508931518,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
54,QR03,9C,QR03_03,Quercus robur,PM2.5,1.899664097,1.555225852,4.96196877,1.031386338,59,38.43673468,5.5936791,,,1.65235512,,0,0.005491349,0,0,0,0,0,0,54.3117404,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
56,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,23,57.7388823,0,,,0,,5.541979522,0.079648243,0,0,20.18728852,0,3.142399713,9.245017916,4.064786062,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
55,QR03,9C,QR03_03,Quercus robur,PM10,5.922482186,2.746040517,11.87050258,1.893322458,199,45.39053142,17.59784073,,,0.716933515,29.55487072,0,0.256289868,0,0,0,0,0,2.083683014,4.399852455,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
58,QR03,9C,QR03_03,Quercus robur,PM10,10.39228006,3.637562637,17.91450359,2.457473542,325,59.8213613,0,,,4.960760102,18.74703318,1.670157909,1.158681419,0,0,0,0.008667007,0,1.758983172,11.87435687,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
60,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,19,94.14227605,0,,,0,,0.046782938,2.363195084,0.309396,0.332232309,0.374080637,0.425523799,0.51953923,0.652264664,0.83470596,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
59,QR03,9C,QR03_03,Quercus robur,PM2.5,0.335234841,0.653325536,2.164064479,1.111684066,9,38.15861046,40.70070982,,,15.3114751,,0.025939645,0.6097598,2.51139123,1.408133935,0,0.223030942,0.272267545,0.341786258,0.43689399,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
61,QR03,9C,QR03_03,Quercus robur,PM10,7.710401336,3.1332392,10.89722006,1.225588265,184,70.18077374,3.56779173,,,1.382288244,,0.650210725,6.995714456,0,0,0,0.88258395,1.787407137,0,14.55322802,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
62,QR03,9C,QR03_03,Quercus robur,PM10,9.833555328,3.53842783,12.31869501,1.228029999,241,48.18457663,20.96685171,,,14.91245925,,0,5.369216949,0,0.305055012,3.674420342,0,0,0,6.587425619,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
63,QR03,9C,QR03_03,Quercus robur,PM2.5,2.90536862,1.923338301,6.044001009,1.000548052,86,46.0920155,49.70569611,,,3.185749426,,0,0,0,1.016532909,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
66,QR03,9C,QR03_03,Quercus robur,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,20,62.11864352,0,,,0,,0,4.310656339,2.237023786,0,0,31.33367896,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
67,QR03,9C,QR03_03,Quercus robur,PM10,8.157381124,3.22277834,13.58637463,1.800721516,216,63.03495169,10.57030186,,,3.021837585,,4.204054177,0,5.469115078,9.007319808,0,0,0.163240498,4.529177025,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
68,QR03,9C,QR03_03,Quercus robur,PM2.5,2.681878726,1.847883667,5.858353627,1.018361958,88,45.41365206,8.316399902,,,5.705392361,,1.760238223,16.32306725,0,0,0,8.808653802,6.112351641,2.846331149,4.713928327,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
71,QR03,9C,QR03_03,Quercus robur,PM2.5,4.581542823,2.415243569,8.022418106,1.117864001,150,33.69734585,22.82017767,,,0,,3.189776093,0,8.03924948,6.229545921,9.813520312,1.159657165,10.2855958,4.765138775,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
72,QR03,9C,QR03_03,Quercus robur,PM2.5,4.246307982,2.325202624,8.995700627,1.516521716,147,35.46421826,13.13500851,35.43635011,,0,,13.27258646,1.469595172,0,1.222241204,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
73,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,22,0,86.50962114,,,8.580823243,,0,0.121118268,0.431329943,0.462672347,0.520393113,0.591490744,0.721245632,0.904631801,1.156668272,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
86,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,8,46.258986,0,,,0,,0.047002183,15.70159197,22.50965238,15.48275799,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
87,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,6,12.90811598,0,,,0,,0.01103421,1.086201798,0,10.75969413,22.42744416,49.16994572,3.485056758,0,0.152503839,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
88,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,9,48.59352112,0,,,5.010197684,,0.188869657,0.030094615,0,0,29.05746698,0,5.219364166,7.367118448,4.533372447,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
90,QR03,9C,QR03_03,Quercus robur,PM2.5,2.346643885,1.728536893,5.224513816,0.925624224,91,28.75975966,22.85057008,,,0,,17.65037328,0,0.014941143,0.013039465,0,0,0,3.153100982,27.55821645,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
89,QR03,9C,QR03_03,Quercus robur,PM2.5,2.793623673,1.88598837,6.383443719,1.160732918,108,55.02155423,21.18293196,,,4.362209886,,0,1.549160294,0,0,0,17.88414866,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
95,QR03,9C,QR03_03,Quercus robur,PM2.5,3.575838301,2.133752265,6.940385866,1.071962265,127,0,41.74027741,,,3.755413368,,16.07890874,5.893234536,0,0,0,3.487482294,23.3417511,0,5.702927336,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
92,QR03,9C,QR03_03,Quercus robur,PM10,10.50402501,3.657067134,16.19863154,1.98788402,311,31.5091908,3.196875006,15.39393365,,1.178607158,11.53078154,11.41503081,3.506647795,0.446062442,1.711430401,2.135884948,2.578703873,5.388585106,8.477988839,1.530268509,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
93,QR03,9C,QR03_03,Quercus robur,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,12,82.48381615,0,,,0,,12.94263154,0,0.412646728,0.442435546,0.497542508,0.565236853,0.688714022,0.863418076,1.103557926,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
97,QR03,9C,QR03_03,Quercus robur,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,34,78.27322483,0,,,0.979699567,,11.35416478,0,0.94004171,4.638228938,3.814638779,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
94,QR03,9C,QR03_03,Quercus robur,PM2.5,0.670469681,0.923941834,2.79790429,0.929130466,47,12.35327497,28.86400819,,,14.65305835,,21.23308778,17.76490957,0,0,0,0,5.131660774,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
96,QR03,9C,QR03_03,Quercus robur,PM2.5,2.011409044,1.600314199,7.202930912,2.052618486,70,52.48024464,10.16634703,,,0,,26.1187315,0,2.265546843,0.239206129,0,0,8.729921281,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
99,QR03,9C,QR03_03,Quercus robur,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,26,0,0,,,22.66446948,,64.76984024,9.304903448,0,0,0.449007144,0.505447807,0.606246199,0.750550115,0.949529745,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
100,QR03,9C,QR03_03,Quercus robur,PM2.5,0.446979788,0.754395348,2.426609525,1.048339735,47,11.944592,15.49759358,,,7.363146544,,7.078278065,0,33.40721726,10.88918969,0,9.524654597,4.295332357,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
101,QR03,9C,QR03_03,Quercus robur,PM2.5,0.558724735,0.84343964,2.612256908,0.971905435,49,18.24457198,0,,,0,,9.868498892,0,0,4.622650146,14.73073065,37.51792312,10.58996916,0,4.425657541,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
102,QR03,9C,QR03_03,Quercus robur,PM2.5,1.005704522,1.131593022,3.431744101,0.931857543,46,0,56.91635609,,,0,,42.24480689,0,0.077056204,0.082216854,0.092136976,0.104212249,0.126061705,0.157167995,0.199989439,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
103,QR03,9C,QR03_03,Quercus robur,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,19,0,33.89811516,,,0,,21.76506221,0.045215106,25.41730106,0,0,13.43163848,5.442665517,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
105,QR03,9C,QR03_03,Quercus robur,PM2.5,0.670469681,0.923941834,3.246096719,1.250644575,59,32.80520737,29.01285291,,,9.747839719,,21.9216615,0.126842211,0,0,0,6.385596842,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
106,QR03,9C,QR03_03,Quercus robur,PM2.5,1.117449469,1.192803778,3.694289147,0.971905435,56,70.48009038,0,,,6.849483401,,22.21936584,0.011352725,0.039932327,0.042737884,0.048028445,0.054458372,0.066157448,0.082769152,0.105627778,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
107,QR03,9C,QR03_03,Quercus robur,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,29,30.48015833,2.925265767,,,0,,28.07633579,0.027046571,0,0,0,0,0,33.98004174,4.511161149,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
108,QR03,9C,QR03_03,Quercus robur,PM2.5,2.90536862,1.923338301,5.858353627,0.940026423,141,9.859228134,31.55352771,,,3.172757104,,27.6779145,0.624394044,0,0,0,15.31488895,7.346328348,4.450957105,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
110,QR03,9C,QR03_03,Quercus robur,PM2.5,4.358052929,2.35559872,11.23666277,2.30553824,169,29.31533456,17.80258268,,,1.788988709,,21.89012468,0,0,0,2.712871321,0,16.91492945,9.575176239,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
111,QR03,9C,QR03_03,Quercus robur,PM2.5,1.676174204,1.46088031,4.699423723,1.048480103,58,0,11.76976413,,,8.162932843,,25.71675181,4.100598395,0,0,24.79163855,10.53242683,7.150449604,4.580965266,3.194475919,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
109,QR03,9C,QR03_03,Quercus robur,PM2.5,3.352348407,2.065996747,7.651123341,1.389605083,130,47.82323837,0,30.73904812,,0,,19.80866045,0.086691108,0,0,0,1.5423581,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
113,QR03,9C,QR03_03,Quercus robur,PM10,35.08791333,6.683959814,27.24964693,1.684047564,1050,46.25093639,0,25.57379007,,0.888133049,,7.691018283,2.551193163,3.194142506,2.117010765,0.457365671,2.191091888,0,0.285858358,0,0,0,0,0,0,0,8.799450099,0,0,0,0,0,0,0,0,0,0,0
112,QR03,9C,QR03_03,Quercus robur,PM2.5,1.78791915,1.508790696,4.776321387,1.015381726,91,35.37308574,33.13525319,,,0,,21.04561329,0,4.819834605,5.084811896,0,0,0,0,0.541399606,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
116,QR03,9C,QR03_03,Quercus robur,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,18,67.77943373,0,,,0,,0.024429761,16.2958622,3.159573674,5.18543683,0,0,0,7.555263489,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
118,QR03,9C,QR03_03,Quercus robur,PM10,34.75267849,6.651953438,30.89889047,2.186188589,1093,32.6687932,1.299218833,27.84835696,,0.063705118,6.661975384,25.42752326,0.272157555,0.120695261,4.014685377,0,0,0,1.622893661,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
120,QR03,9C,QR03_03,Quercus robur,PM2.5,2.681878726,1.847883667,6.67784082,1.32319279,76,67.21250415,2.445615642,,,14.7711277,,0.124368328,4.440836236,4.363106191,5.527939275,0.903657638,0.133487221,0,0,0.077360537,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
119,QR03,9C,QR03_03,Quercus robur,PM2.5,2.793623673,1.88598837,6.306546055,1.132936,116,44.90867257,16.46850407,,,13.74930143,,1.164786704,1.526076626,0.255118543,0.949921645,1.177080907,2.70965565,0,17.09088385,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
121,QR03,9C,QR03_03,Quercus robur,PM2.5,1.117449469,1.192803778,3.694289147,0.971905435,47,34.10396576,0,,,7.179516554,,0.003083962,0,1.715548709,5.432376638,16.17010683,14.07846063,0.286508328,2.960398979,18.07003319,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
123,QR03,9C,QR03_03,Quercus robur,PM2.5,0.335234841,0.653325536,1.978417097,0.929130466,13,44.07128394,46.11256719,,,3.681530058,,0,3.798580542,0.210498925,0.225768751,0.254064589,0.288656587,0.351801771,0.441175885,0.564069673,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
128,QR03,9C,QR03_03,Quercus robur,PM2.5,0.446979788,0.754395348,2.164064479,0.83376305,16,67.20804572,8.472356945,,,2.508704364,,0.365805812,0.531402277,1.88062489,2.018732205,2.266182005,2.579643205,3.151182458,3.956864774,5.060452968,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
131,QR03,9C,QR03_03,Quercus robur,PM10,29.72415588,6.151907891,32.2116157,2.777829745,775,62.01370358,11.0935919,,,5.75273782,,1.521505136,2.679879963,0,0,8.93830955,1.60517823,1.733234338,0,4.661855474,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
134,QR03,9C,QR03_03,Quercus robur,PM2.5,1.899664097,1.555225852,5.595808581,1.311713598,78,0,24.36202317,,,1.674565673,,4.717260972,4.400614649,0,0.674976641,9.233878553,12.33183816,0,0,42.60484874,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
136,QR03,9C,QR03_03,Quercus robur,PM2.5,0.558724735,0.84343964,2.612256908,0.971905435,35,41.852507,0,,,3.487528116,,0.926655717,0.568136666,8.245667815,36.42683625,6.449450552,0,0,2.043214813,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
1,SF01,8A,SF01_01,Salix fragilis,PM2.5,0.558724735,0.84343964,3.246096719,1.50077349,15,83.77074003,0,0,0,11.2804018,,0.066961837,0.119389244,0.427794829,0.459251227,0.516844727,0.587875629,0.717617199,0.900733192,1.152389124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,SF01,8A,SF01_01,Salix fragilis,PM2.5,1.564429257,1.411344463,4.513776341,1.036368677,53,32.189852,0,0,0,0,,4.659968615,0,7.394717634,16.53866917,0,0,0,27.82491744,11.39187366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SF01,8A,SF01_01,Salix fragilis,PM2.5,2.681878726,1.847883667,8.09931577,1.94646977,250,63.54669333,0,0,0,0,,0,0.019001753,15.08260518,9.01998058,0,0,4.298103228,0,8.033616841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SF01,8A,SF01_01,Salix fragilis,PM2.5,2.346643885,1.728536893,5.858353627,1.163842238,114,44.94225979,19.51707155,0,0,12.69848645,,0,3.076038696,0,0,10.52163839,0,9.244505316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SF01,8A,SF01_01,Salix fragilis,PM2.5,1.45268431,1.360005555,4.853219051,1.29026429,53,70.13243437,0,0,0,0,,3.02376952,6.601598114,0,0,0,0,0,5.692816153,14.54938948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SF01,8A,SF01_01,Salix fragilis,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,8,36.93131506,34.08643901,0,0,4.264277965,,0.034721559,7.800585032,0,0,0.283381063,0,2.576233633,14.02304322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SF01,8A,SF01_01,Salix fragilis,PM2.5,1.340939363,1.306651072,4.142481576,1.018361958,69,26.51833296,10.29342636,0,0,0,,4.746965319,19.81336027,22.53774852,4.582774267,0,2.089963108,0,0,9.417437017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,SF01,8A,SF01_01,Salix fragilis,PM2.5,2.234898938,1.68687928,5.595808581,1.114956559,84,53.29090357,0,0,0,0,,0,27.1188736,0.606682291,1.702653617,3.312427178,0.063442736,13.9050141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SF01,8A,SF01_01,Salix fragilis,PM10,5.698992292,2.693730193,10.0008352,1.396576108,215,58.6489141,13.02192956,0,0,11.34914979,,1.226609387,7.294464856,0,0,3.53176333,4.927168041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,SF01,8A,SF01_01,Salix fragilis,PM2.5,0.223489894,0.533438066,1.530224668,0.83376305,8,0,0,0,0,19.69550103,,0.131153932,0.194121304,10.4750514,8.001374453,3.987196088,29.27494645,0,0,28.24065089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,SF01,8A,SF01_01,Salix fragilis,PM2.5,1.45268431,1.360005555,4.776321387,1.249700586,46,53.96828651,23.01738709,0,0,0.034122882,,1.837487519,2.311486565,0.775143923,11.89247742,6.16360195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,SF01,8A,SF01_01,Salix fragilis,PM2.5,1.005704522,1.131593022,3.694289147,1.079894928,44,56.54687881,0,0,0,11.06960848,,0.134605845,0,8.314304054,16.95784926,0,0,0,0,6.976754218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,SF01,8A,SF01_01,Salix fragilis,PM10,6.592951867,2.89731031,9.661392493,1.126651715,253,46.05499506,11.83857396,0,0,10.53842232,22.94089794,0.443751877,0.385216391,3.586157784,4.211984575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SF01,8A,SF01_01,Salix fragilis,PM10,9.610065434,3.497987327,11.71670725,1.136776139,324,39.5072937,36.49160564,0,0,5.176022649,,0,5.456048623,0,5.174136907,0,0,0,2.298271097,5.896611139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,SF01,8A,SF01_01,Salix fragilis,PM2.5,1.45268431,1.360005555,4.590674005,1.154441146,37,64.88916278,0,0,0,16.76459014,,0,6.366740167,0,0,4.6563752,0,2.223739959,3.958911076,1.140482072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,SF01,8A,SF01_01,Salix fragilis,PM2.5,0.446979788,0.754395348,2.79790429,1.393695698,36,71.35744095,0,0,0,0,,0.016721975,4.561760277,0,0,0,24.0640834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,SF01,8A,SF01_01,Salix fragilis,PM2.5,1.005704522,1.131593022,3.694289147,1.079894928,25,48.15112054,38.8217032,0,0,0,,8.847051114,0.244255923,0.354899094,0.380579173,0.42807525,0.486367475,0.592725957,0.743191456,0.95003061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,SF01,8A,SF01_01,Salix fragilis,PM2.5,0.446979788,0.754395348,2.79790429,1.393695698,199,67.48061776,0,0,0,5.904304609,,21.77598923,0,0.439462299,0.470335875,0.528168911,0.599087169,0.728117721,0.911144912,1.162776351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
